Geo Point,Geo Shape,GEOID,LANDAREA,WATERAREA,Latitude,Longitude,Total Population,White Only Population,Non White Only Percentage,AREA_SQMI,Total Population Estimate,Total Population Margin of Error,Housing Unit Estimate,Housing Unit Margin of Error,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
"33.864602164117734, -118.14026736482782","{""coordinates"": [[[-118.146651, 33.8689359991266], [-118.142626, 33.86896299912659], [-118.142479, 33.868963999126585], [-118.133859, 33.868989999126576], [-118.133853, 33.86787999912661], [-118.133792, 33.86028399912666], [-118.136557, 33.860270999126705], [-118.140013, 33.86025599912667], [-118.14242, 33.860245999126704], [-118.146161, 33.86022999912667], [-118.146767, 33.860309999126656], [-118.146651, 33.8689359991266]]], ""type"": ""Polygon""}",6037570003,1144564,0,33.8646109,-118.1402263,4617,1637,64.54406226,0.44191845,4011,532,1320,114,0.2661,0.1854,0.4383,0.2683,0.2312
"33.86462967882078, -118.18020741384758","{""coordinates"": [[[-118.185256, 33.86731799912661], [-118.182054, 33.86732699912659], [-118.178259, 33.867348999126584], [-118.175398, 33.86736499912661], [-118.175379, 33.864185999126654], [-118.17536, 33.861923999126645], [-118.177289, 33.86191299912668], [-118.18498, 33.86188399912664], [-118.184985, 33.86369099912665], [-118.185007, 33.86550399912661], [-118.185256, 33.86731799912661]]], ""type"": ""Polygon""}",6037570503,538942,0,33.8646299,-118.1802089,3789,621,83.61042924,0.208086584,4624,1000,1212,263,0.9004,0.7983,0.842,0.5067,0.8256
"33.87100389845105, -118.17936713972276","{""coordinates"": [[[-118.186145, 33.874382999126524], [-118.184541, 33.87453699912648], [-118.181716, 33.87458799912652], [-118.178302, 33.87460399912648], [-118.177368, 33.87460299912648], [-118.173027, 33.87462299912649], [-118.17299, 33.869181999126546], [-118.172978, 33.867374999126575], [-118.175398, 33.86736499912661], [-118.178259, 33.867348999126584], [-118.182054, 33.86732699912659], [-118.185256, 33.86731799912661], [-118.18602, 33.87274699912653], [-118.186145, 33.874382999126524]]], ""type"": ""Polygon""}",6037570504,946994,0,33.8710042,-118.1793689,3903,578,85.19085698,0.365636277,3838,675,997,103,0.9172,0.909,0.8729,0.1357,0.7415
"33.87942174600651, -118.17850587414009","{""coordinates"": [[[-118.187487, 33.88301499912641], [-118.18718, 33.88544299912639], [-118.186688, 33.88544299912638], [-118.177435, 33.88535899912636], [-118.177427, 33.88195199912642], [-118.168701, 33.88200399912641], [-118.168702, 33.8819619991264], [-118.168678, 33.87464999912648], [-118.169771, 33.874645999126486], [-118.173027, 33.87462299912649], [-118.177368, 33.87460299912648], [-118.178302, 33.87460399912648], [-118.181716, 33.87458799912652], [-118.184541, 33.87453699912648], [-118.186145, 33.874382999126524], [-118.186069, 33.87986599912644], [-118.186666, 33.88147399912639], [-118.187575, 33.88265899912639], [-118.187487, 33.88301499912641]]], ""type"": ""Polygon""}",6037570202,1672905,0,33.8794267,-118.1785038,6122,895,85.38058063,0.645911966,6214,641,1758,230,0.8603,0.5984,0.8904,0.3907,0.7265
"33.81653514535366, -118.21825070691654","{""coordinates"": [[[-118.221293, 33.818074999127234], [-118.219456, 33.821951999127165], [-118.21544, 33.82195699912716], [-118.215453, 33.8189169991272], [-118.215449, 33.81569199912726], [-118.215446, 33.811642999127294], [-118.219777, 33.811646999127284], [-118.221443, 33.8116649991273], [-118.221293, 33.818074999127234]]], ""type"": ""Polygon""}",6037572500,592705,0,33.8165383,-118.2182796,4244,698,83.55323196,0.228844586,3973,677,1422,226,0.7697,0.9994,0.7978,0.9337,0.9749
"33.881411889901905, -118.21220061788931","{""coordinates"": [[[-118.218828, 33.888586999126304], [-118.211045, 33.88861599912634], [-118.207052, 33.88868999912633], [-118.205946, 33.88498699912635], [-118.20485, 33.88132199912643], [-118.205446, 33.88131899912645], [-118.207137, 33.88131199912641], [-118.208874, 33.8812919991264], [-118.2085, 33.87832499912648], [-118.208488, 33.87492899912651], [-118.208482, 33.87479599912651], [-118.208135, 33.8747989991265], [-118.208134, 33.8744219991265], [-118.208017, 33.87442699912648], [-118.208031, 33.874931999126495], [-118.207155, 33.87426899912648], [-118.205498, 33.87428699912649], [-118.20549, 33.87297099912653], [-118.205485, 33.87272599912653], [-118.205486, 33.87040199912657], [-118.206165, 33.870352999126574], [-118.206941, 33.873091999126515], [-118.206978, 33.8732979991265], [-118.206972, 33.87371899912651], [-118.216073, 33.87336199912651], [-118.216569, 33.873362999126506], [-118.217674, 33.88126299912642], [-118.2183, 33.88521099912635], [-118.218828, 33.888586999126304]]], ""type"": ""Polygon""}",6037542402,1666271,0,33.881457,-118.2121727,3127,241,92.29290301,0.643350566,3790,662,900,172,0.7982,0.7497,0.9912,0.7074,0.8327
"33.801451052121394, -118.19341058481443","{""coordinates"": [[[-118.199136, 33.80437799912736], [-118.193708, 33.80438499912736], [-118.189354, 33.804385999127405], [-118.189362, 33.79984899912743], [-118.189375, 33.79711799912748], [-118.193703, 33.79711699912749], [-118.193707, 33.79983999912746], [-118.193705, 33.800749999127426], [-118.199133, 33.800755999127404], [-118.199136, 33.80437799912736]]], ""type"": ""Polygon""}",6037573101,526756,0,33.8014503,-118.1934104,4220,637,84.90519315,0.203381545,4741,1043,1453,256,0.932,0.4627,0.842,0.8332,0.8648
"33.808023626196885, -118.19500675099216","{""coordinates"": [[[-118.205492, 33.81167399912727], [-118.200222, 33.811646999127284], [-118.193704, 33.81164499912729], [-118.191704, 33.811649999127276], [-118.184579, 33.81163499912725], [-118.184582, 33.80433099912737], [-118.185017, 33.80439999912737], [-118.1861, 33.8044349991274], [-118.189354, 33.804385999127405], [-118.193708, 33.80438499912736], [-118.199136, 33.80437799912736], [-118.200217, 33.804378999127366], [-118.205324, 33.80438799912739], [-118.205492, 33.81167399912727]]], ""type"": ""Polygon""}",6037572202,1522598,29978,33.8089196,-118.1953401,3848,838,78.22243289,0.587878133,3297,360,1069,93,0.3301,0.5825,0.7272,0.5557,0.4945
"33.81429541816594, -118.08711504488659","{""coordinates"": [[[-118.094247, 33.786620999127564], [-118.090295, 33.794551999127506], [-118.090177, 33.79586099912749], [-118.090595, 33.80421399912738], [-118.0909, 33.810431999127296], [-118.091383, 33.81882099912722], [-118.09324, 33.83129099912707], [-118.084145, 33.83131399912707], [-118.081812, 33.831259999127035], [-118.081793, 33.83087399912704], [-118.082698, 33.82999099912707], [-118.081703, 33.82508299912712], [-118.081869, 33.82437899912715], [-118.081546, 33.817648999127236], [-118.081525, 33.806144999127376], [-118.08424, 33.80341599912737], [-118.084744, 33.802909999127394], [-118.086228, 33.796878999127465], [-118.087263, 33.79524299912746], [-118.093029, 33.7861209991276], [-118.09323, 33.7858049991276], [-118.093277, 33.785727999127616], [-118.094247, 33.786620999127564]]], ""type"": ""Polygon""}",6037980006,2968548,400737,33.8144246,-118.0865098,2,0,99.95002499,1.14616232,0,13,0,13,-999,-999,-999,-999,-999
"33.81344559429913, -118.18003112917594","{""coordinates"": [[[-118.184579, 33.81163499912725], [-118.184579, 33.81508499912726], [-118.184455, 33.81862199912721], [-118.178491, 33.81863099912718], [-118.175234, 33.818909999127214], [-118.173063, 33.81865099912719], [-118.171973, 33.81865699912717], [-118.171968, 33.81529399912724], [-118.174154, 33.815284999127265], [-118.174137, 33.81346599912728], [-118.178494, 33.81346899912727], [-118.178495, 33.81163099912727], [-118.180662, 33.81164099912729], [-118.180646, 33.8043859991274], [-118.180646, 33.80422999912741], [-118.181734, 33.804230999127405], [-118.184582, 33.80433099912737], [-118.184579, 33.81163499912725]]], ""type"": ""Polygon""}",6037573401,1035868,4445,33.812873,-118.1795106,1575,503,68.06344885,0.399950707,1458,280,572,99,0.5267,0.8708,0.6152,0.2798,0.5618
"33.81447399671688, -118.101785692445","{""coordinates"": [[[-118.113941, 33.81369499912726], [-118.109272, 33.81881999912722], [-118.105203, 33.81881799912722], [-118.099134, 33.81881399912717], [-118.098075, 33.81881799912722], [-118.09271, 33.81882099912722], [-118.091383, 33.81882099912722], [-118.0909, 33.810431999127296], [-118.092164, 33.81043699912729], [-118.098115, 33.8104489991273], [-118.101882, 33.810462999127274], [-118.107872, 33.810480999127286], [-118.113758, 33.8104979991273], [-118.113602, 33.81247599912728], [-118.113024, 33.81312799912727], [-118.113941, 33.81369499912726]]], ""type"": ""Polygon""}",6037574000,1819895,0,33.8144739,-118.1017387,5322,3372,36.64035388,0.702665099,5086,511,1988,182,0.039,0.0695,0.24,0.0573,0.0136
"33.82291223056326, -118.17468415214798","{""coordinates"": [[[-118.185018, 33.82214799912714], [-118.185014, 33.824211999127115], [-118.18501, 33.8267049991271], [-118.176303, 33.8267079991271], [-118.173038, 33.82669599912706], [-118.16736, 33.82669399912708], [-118.167361, 33.8277809991271], [-118.16431, 33.827801999127104], [-118.164037, 33.82759599912706], [-118.164094, 33.82275799912718], [-118.164643, 33.82004699912718], [-118.167357, 33.82015299912718], [-118.167632, 33.81891999912719], [-118.171973, 33.81865699912717], [-118.173063, 33.81865099912719], [-118.175234, 33.818909999127214], [-118.178491, 33.81863099912718], [-118.184455, 33.81862199912721], [-118.185015, 33.81890999912723], [-118.185018, 33.82214799912714]]], ""type"": ""Polygon""}",6037572001,1695796,0,33.8229191,-118.1746788,5434,2744,49.50311934,0.654750227,6201,808,2291,270,0.2951,0.4041,0.3847,0.2095,0.2747
"33.826671120663605, -118.13139509959433","{""coordinates"": [[[-118.154104, 33.828976999127086], [-118.15104, 33.829485999127044], [-118.149951, 33.83237799912705], [-118.147651, 33.832369999126996], [-118.142706, 33.832353999127044], [-118.142451, 33.83235299912704], [-118.137354, 33.83233599912704], [-118.133854, 33.83232299912701], [-118.125145, 33.83227599912701], [-118.124983, 33.832436999127], [-118.116532, 33.832408999127026], [-118.116562, 33.82844299912708], [-118.116559, 33.82765099912709], [-118.116566, 33.82501899912712], [-118.1165, 33.822353999127166], [-118.116517, 33.818812999127175], [-118.120832, 33.818807999127195], [-118.125217, 33.818807999127195], [-118.133909, 33.81880999912719], [-118.133893, 33.82223899912712], [-118.133917, 33.82505499912713], [-118.142553, 33.825094999127096], [-118.151011, 33.825080999127124], [-118.150978, 33.82754699912707], [-118.154103, 33.82755199912705], [-118.154104, 33.828976999127086]]], ""type"": ""Polygon""}",6037573601,3724951,1760,33.8270219,-118.1316188,6441,3944,38.76726614,1.438211031,6522,715,2342,293,0.1027,0.1503,0.3226,0.045,0.043
"33.83595410690958, -118.13369780650163","{""coordinates"": [[[-118.142465, 33.839617999126915], [-118.139251, 33.83959999912697], [-118.130518, 33.83957199912692], [-118.124911, 33.83955499912697], [-118.124938, 33.83609199912699], [-118.124962, 33.83410599912703], [-118.124983, 33.832436999127], [-118.125145, 33.83227599912701], [-118.133854, 33.83232299912701], [-118.137354, 33.83233599912704], [-118.142451, 33.83235299912704], [-118.142465, 33.839617999126915]]], ""type"": ""Polygon""}",6037571201,1305152,0,33.8359574,-118.1337041,3775,1931,48.84766918,0.503921798,3884,780,1445,209,0.1904,0.8999,0.2739,0.2023,0.3312
"33.836280491361975, -118.15937585397604","{""coordinates"": [[[-118.164322, 33.84705599912685], [-118.163462, 33.84705999912685], [-118.159878, 33.84707399912687], [-118.154742, 33.847093999126834], [-118.154977, 33.84504899912689], [-118.156275, 33.842704999126866], [-118.156395, 33.83990999912692], [-118.156401, 33.838466999126936], [-118.157158, 33.83240099912703], [-118.149951, 33.83237799912705], [-118.15104, 33.829485999127044], [-118.154104, 33.828976999127086], [-118.154103, 33.82755199912705], [-118.155949, 33.8275109991271], [-118.155958, 33.82513799912711], [-118.157917, 33.825135999127106], [-118.160853, 33.82757699912711], [-118.164037, 33.82759599912706], [-118.16431, 33.827801999127104], [-118.164306, 33.83241699912706], [-118.164322, 33.84705599912685]]], ""type"": ""Polygon""}",6037571400,1911366,7783,33.836022,-118.158392,4950,1811,63.4141286,0.737982235,4761,584,1723,221,0.2682,0.548,0.548,0.4175,0.3922
"33.83883309275857, -118.10162276836878","{""coordinates"": [[[-118.10772, 33.83954099912693], [-118.107703, 33.84317899912691], [-118.107685, 33.84700099912683], [-118.103908, 33.84690199912685], [-118.099211, 33.84587599912685], [-118.098939, 33.84587499912685], [-118.095489, 33.83965199912694], [-118.094974, 33.83832799912694], [-118.094555, 33.837293999126956], [-118.093939, 33.835661999127005], [-118.093356, 33.83199899912704], [-118.093526, 33.83201399912705], [-118.098862, 33.83234999912705], [-118.105133, 33.832371999127055], [-118.107757, 33.832379999127035], [-118.10772, 33.83954099912693]]], ""type"": ""Polygon""}",6037571000,1754175,0,33.8388317,-118.1016258,5792,3371,41.79902593,0.677290476,5437,458,1933,160,0.102,0.3972,0.3492,0.0305,0.0672
"33.76676781908735, -118.17931565683307","{""coordinates"": [[[-118.183235, 33.76614999912785], [-118.182916, 33.76639099912786], [-118.182078, 33.769138999127826], [-118.181896, 33.76973899912784], [-118.178501, 33.76930599912779], [-118.176708, 33.76906599912783], [-118.174915, 33.76882599912781], [-118.17570327199998, 33.76439697212786], [-118.17591255899998, 33.76442394612789], [-118.17927303299996, 33.76485706512786], [-118.180801, 33.76505399912789], [-118.18255, 33.762778999127924], [-118.18082663699995, 33.76066273212793], [-118.183484, 33.76385199912788], [-118.182512, 33.76533199912787], [-118.183644, 33.76460299912791], [-118.183235, 33.76614999912785]]], ""type"": ""Polygon""}",6037576601,488000,3566,33.7665662,-118.1799258,4770,2343,50.88049248,0.188417776,3758,546,2867,203,0.6734,0.077,0.3163,0.6166,0.4766
"33.771576124906034, -118.16428424139168","{""coordinates"": [[[-118.167644, 33.76864499912782], [-118.167644, 33.77170599912778], [-118.167646, 33.77534599912776], [-118.165553, 33.775335999127726], [-118.162221, 33.775337999127714], [-118.161138, 33.775336999127724], [-118.161129, 33.77169599912781], [-118.160585, 33.7716989991278], [-118.160584, 33.768080999127825], [-118.164738, 33.76807399912785], [-118.165379, 33.768323999127844], [-118.165621, 33.767528999127805], [-118.167764, 33.76788699912782], [-118.167644, 33.76864499912782]]], ""type"": ""Polygon""}",6037576801,514192,0,33.7715794,-118.1642807,4286,1961,54.24637092,0.19853056,3699,546,2021,152,0.5364,0.314,0.5025,0.6154,0.5181
"33.77897003584064, -118.18284712302567","{""coordinates"": [[[-118.185014, 33.77896299912767], [-118.185016, 33.78259699912767], [-118.182852, 33.78260099912765], [-118.18068, 33.78259799912767], [-118.180678, 33.77896399912767], [-118.180677, 33.775342999127766], [-118.183038, 33.775342999127766], [-118.18502, 33.775341999127704], [-118.185014, 33.77896299912767]]], ""type"": ""Polygon""}",6037576302,323710,0,33.7789718,-118.1828489,3901,653,83.26068104,0.124985078,3526,420,1244,136,0.9928,0.675,0.8026,0.9145,0.9584
"33.78441356619149, -118.16219074907532","{""coordinates"": [[[-118.167649, 33.786220999127615], [-118.163312, 33.786228999127594], [-118.158928, 33.78622299912762], [-118.156749, 33.7862259991276], [-118.156748, 33.78259199912768], [-118.157829, 33.782599999127655], [-118.161115, 33.78259799912767], [-118.164385, 33.782602999127654], [-118.167632, 33.78260699912763], [-118.167636, 33.78440699912762], [-118.167649, 33.786220999127615]]], ""type"": ""Polygon""}",6037575102,405956,0,33.7844124,-118.1621912,4064,478,88.23816726,0.156740424,4066,484,1303,155,0.9078,0.5632,0.8711,0.9066,0.903
"33.786487468591844, -118.17679857974551","{""coordinates"": [[[-118.180684, 33.78486699912765], [-118.180675, 33.78985299912756], [-118.176323, 33.78985399912756], [-118.171987, 33.78985399912756], [-118.171985, 33.786233999127596], [-118.174149, 33.786229999127606], [-118.174156, 33.78260599912765], [-118.176328, 33.782611999127624], [-118.18068, 33.78259799912767], [-118.180684, 33.78486699912765]]], ""type"": ""Polygon""}",6037575201,566597,0,33.7864873,-118.1767949,4664,454,90.26584686,0.218764235,4745,728,1374,128,0.9211,0.8492,0.9381,0.9831,0.9809
"33.78812969976538, -118.16241961394633","{""coordinates"": [[[-118.167642, 33.78984799912757], [-118.167645, 33.79149199912755], [-118.165501, 33.789854999127556], [-118.163313, 33.78985599912755], [-118.162751, 33.789854999127556], [-118.156743, 33.78976899912754], [-118.156749, 33.7862259991276], [-118.158928, 33.78622299912762], [-118.163312, 33.786228999127594], [-118.167649, 33.786220999127615], [-118.167642, 33.78984799912757]]], ""type"": ""Polygon""}",6037575101,420471,0,33.7881242,-118.1623977,4568,742,83.75654909,0.162344694,4231,643,1588,169,0.8819,0.7079,0.7906,0.6221,0.8178
"33.792164954506525, -118.12525076109344","{""coordinates"": [[[-118.133993, 33.79604999912746], [-118.125312, 33.79602199912748], [-118.12145, 33.79600899912746], [-118.11791, 33.795995999127484], [-118.117057, 33.7959879991275], [-118.117072, 33.7931919991275], [-118.117078, 33.79100899912753], [-118.116198, 33.78873199912756], [-118.119239, 33.78873699912754], [-118.121002, 33.7887399991276], [-118.121421, 33.78637699912763], [-118.123454, 33.7871509991276], [-118.124391, 33.78852199912757], [-118.127788, 33.78814499912757], [-118.129533, 33.78843699912757], [-118.129727, 33.788505999127565], [-118.132177, 33.789570999127534], [-118.134032, 33.789797999127586], [-118.133993, 33.79604999912746]]], ""type"": ""Polygon""}",6037574901,1341384,0,33.7921434,-118.1251759,3829,2380,37.84276891,0.517911045,3897,533,1400,144,0.1735,0.067,0.24,0.1183,0.0624
"33.79348780565893, -118.18501797687955","{""coordinates"": [[[-118.189375, 33.79711799912748], [-118.185014, 33.797118999127484], [-118.182841, 33.797122999127474], [-118.180669, 33.79711999912748], [-118.180669, 33.79348699912749], [-118.180675, 33.78985299912756], [-118.182848, 33.78985199912757], [-118.185026, 33.78985199912756], [-118.189364, 33.789856999127544], [-118.189365, 33.793490999127535], [-118.189375, 33.79711799912748]]], ""type"": ""Polygon""}",6037573202,649039,0,33.7934864,-118.1850191,6250,497,92.04798527,0.250595256,6348,1096,1730,184,0.8589,0.6916,0.9286,0.8878,0.9017
"33.82018829771563, -118.0643241267783","{""coordinates"": [[[-118.067227, 33.817648], [-118.067039, 33.817742]], [[-118.067039, 33.817742], [-118.066856, 33.817834]], [[-118.066856, 33.817834], [-118.066788, 33.817868]], [[-118.066788, 33.817868], [-118.066719, 33.817902]], [[-118.066719, 33.817902], [-118.066554, 33.817985]], [[-118.066554, 33.817985], [-118.06621, 33.818157]], [[-118.06621, 33.818157], [-118.066114, 33.818207]], [[-118.066114, 33.818207], [-118.06601, 33.818258]], [[-118.06601, 33.818258], [-118.065467, 33.818529]], [[-118.065467, 33.818529], [-118.065327, 33.818601]], [[-118.065327, 33.818601], [-118.065142, 33.818692]], [[-118.065142, 33.818692], [-118.064619, 33.818957]], [[-118.064619, 33.818957], [-118.064321, 33.819104]], [[-118.064321, 33.819104], [-118.06401, 33.819259]], [[-118.06401, 33.819259], [-118.063677, 33.819426]], [[-118.063677, 33.819426], [-118.063329, 33.8196]], [[-118.063329, 33.8196], [-118.06317, 33.819681]], [[-118.06317, 33.819681], [-118.063248, 33.8204]], [[-118.063248, 33.8204], [-118.063248, 33.820648]], [[-118.063248, 33.820648], [-118.063249, 33.820706]], [[-118.063249, 33.820706], [-118.06325, 33.820764]], [[-118.06325, 33.820764], [-118.063257, 33.821049]], [[-118.063257, 33.821049], [-118.063263, 33.821339]], [[-118.063263, 33.821339], [-118.063263, 33.821381]], [[-118.063263, 33.821381], [-118.063271, 33.821419]], [[-118.063271, 33.821419], [-118.063271, 33.82143]], [[-118.063271, 33.82143], [-118.063271, 33.821453]], [[-118.063271, 33.821453], [-118.063278, 33.821465]], [[-118.063278, 33.821465], [-118.063278, 33.821499]], [[-118.063278, 33.821499], [-118.063278, 33.821632]], [[-118.063278, 33.821632], [-118.063293, 33.821941]], [[-118.063293, 33.821941], [-118.063286, 33.822033]], [[-118.063286, 33.822033], [-118.063278, 33.82275]], [[-118.063278, 33.82275], [-118.063278, 33.822811]], [[-118.063278, 33.822811], [-118.063278, 33.823681]], [[-118.063278, 33.823681], [-118.063272, 33.823935]], [[-118.063272, 33.823935], [-118.063268, 33.824107]], [[-118.067447, 33.817538], [-118.067227, 33.817648]]], ""type"": ""MultiLineString""}",6059099511,820286,1480656,33.7385342,-118.1055682,,,,,,,,,,,,,
"33.82666904716015, -118.13136201621789","{""coordinates"": [[[-118.152783, 33.828972], [-118.151923, 33.828968], [-118.15104, 33.829486], [-118.150418, 33.831128], [-118.149951, 33.832378], [-118.149501, 33.832376], [-118.147881, 33.832371], [-118.147651, 33.83237], [-118.14623, 33.832365], [-118.144827, 33.832361], [-118.143663, 33.832357], [-118.142706, 33.832354], [-118.142623, 33.832354], [-118.142544, 33.832354], [-118.14248, 33.832353], [-118.142451, 33.832353], [-118.142197, 33.83235], [-118.140961, 33.832348], [-118.140634, 33.832347], [-118.140521, 33.832347], [-118.137354, 33.832336], [-118.137226, 33.832335], [-118.133854, 33.832323], [-118.132763, 33.832321], [-118.132201, 33.83232], [-118.132172, 33.83232], [-118.131608, 33.832319], [-118.13055, 33.832318], [-118.127121, 33.832312], [-118.126005, 33.832306], [-118.125145, 33.832276], [-118.124983, 33.832437], [-118.124225, 33.832434], [-118.120972, 33.832424], [-118.120784, 33.832423], [-118.118315, 33.832414], [-118.116532, 33.832409], [-118.116535, 33.832248], [-118.11654, 33.831766], [-118.116541, 33.831324], [-118.116551, 33.830413], [-118.116552, 33.830342], [-118.116561, 33.828614], [-118.116562, 33.828443], [-118.116563, 33.828332], [-118.116559, 33.827651], [-118.116558, 33.827572], [-118.116552, 33.826984], [-118.116566, 33.825019], [-118.116548, 33.824293], [-118.1165, 33.822354], [-118.11651, 33.821629], [-118.116512, 33.820937], [-118.116513, 33.820251], [-118.116515, 33.819571], [-118.116517, 33.818813], [-118.11891, 33.818808], [-118.119939, 33.818806], [-118.120832, 33.818808], [-118.123344, 33.818805], [-118.124167, 33.818807], [-118.125217, 33.818808], [-118.126267, 33.81881], [-118.127074, 33.818812], [-118.127904, 33.818806], [-118.12923, 33.818808], [-118.129834, 33.818806], [-118.130416, 33.818804], [-118.131262, 33.818806], [-118.132083, 33.818807], [-118.132905, 33.818808], [-118.133909, 33.81881], [-118.133909, 33.81883], [-118.133886, 33.821573], [-118.133893, 33.822239], [-118.133899, 33.822965], [-118.133902, 33.823351], [-118.133905, 33.823657], [-118.133911, 33.824343], [-118.133917, 33.825055], [-118.135156, 33.825061], [-118.138232, 33.825076], [-118.142456, 33.825095], [-118.142553, 33.825095], [-118.144528, 33.825101], [-118.146203, 33.825073], [-118.147998, 33.825094], [-118.148867, 33.825094], [-118.15005, 33.825087], [-118.151011, 33.825081], [-118.150978, 33.827547], [-118.152127, 33.827551], [-118.152486, 33.827545], [-118.153028, 33.827517], [-118.154037, 33.827551], [-118.154103, 33.827552], [-118.15411, 33.827646], [-118.154104, 33.828977], [-118.152783, 33.828972]]], ""type"": ""Polygon""}",6059099512,616510,1505,33.7444635,-118.1043364,,,,,,,,,,,,,
"33.793541167685795, -118.20226903505987","{""coordinates"": [[[-118.205608, 33.79018399912756], [-118.205155, 33.79537599912747], [-118.205404, 33.79721899912745], [-118.204195, 33.79712199912748], [-118.202401, 33.79711999912748], [-118.199233, 33.797122999127474], [-118.199229, 33.795302999127486], [-118.199224, 33.79348899912753], [-118.199218, 33.79166799912756], [-118.199221, 33.78984799912757], [-118.205405, 33.790198999127526], [-118.205608, 33.79018399912756]]], ""type"": ""Polygon""}",6037573003,401152,46959,33.7943972,-118.2020691,1790,512,71.39660816,0.15488559,1788,241,642,68,0.7752,0.144,0.6449,0.5027,0.5811
"33.794546902552376, -118.21674560084305","{""coordinates"": [[[-118.226966, 33.79085999912756], [-118.226797, 33.79214799912753], [-118.222436, 33.80415199912737], [-118.222436, 33.804447999127355], [-118.221452, 33.804381999127365], [-118.219779, 33.80437199912738], [-118.219775, 33.80074499912743], [-118.21978, 33.797097999127466], [-118.215435, 33.79712599912747], [-118.213263, 33.797122999127474], [-118.210001, 33.79712099912747], [-118.205404, 33.79721899912745], [-118.205155, 33.79537599912747], [-118.205608, 33.79018399912756], [-118.208108, 33.78987599912755], [-118.210477, 33.789846999127576], [-118.216536, 33.78985299912757], [-118.226117, 33.78992799912754], [-118.227463, 33.79034399912756], [-118.226966, 33.79085999912756]]], ""type"": ""Polygon""}",6037578000,1772276,74410,33.7948387,-118.2162875,7189,1146,84.0589673,0.684279308,6380,862,1596,171,0.9557,0.9485,0.892,0.9446,0.9861
"33.842185270274385, -118.18423071474913","{""coordinates"": [[[-118.192736, 33.84376199912686], [-118.18975, 33.844783999126875], [-118.187321, 33.84562099912686], [-118.184944, 33.84643599912683], [-118.177076, 33.849163999126795], [-118.176842, 33.84696199912686], [-118.176539, 33.84394699912691], [-118.176299, 33.84149999912691], [-118.18167, 33.83862499912693], [-118.185001, 33.836847999126945], [-118.189351, 33.83453199912698], [-118.191641, 33.8407669991269], [-118.192736, 33.84376199912686]]], ""type"": ""Polygon""}",6037571502,1374550,2381,33.8421855,-118.1835447,5067,1273,74.87663807,0.530716504,4779,842,1887,170,0.617,0.9106,0.6449,0.7814,0.7775
"33.84998508506351, -118.18704640958777","{""coordinates"": [[[-118.189815, 33.85430499912677], [-118.188369, 33.85430999912676], [-118.184931, 33.85433199912676], [-118.184918, 33.852432999126805], [-118.182159, 33.849466999126825], [-118.184924, 33.84858099912679], [-118.184944, 33.84643599912683], [-118.187321, 33.84562099912686], [-118.18975, 33.844783999126875], [-118.189758, 33.84649399912686], [-118.189779, 33.848579999126805], [-118.189789, 33.851145999126764], [-118.189797, 33.8517859991268], [-118.189815, 33.85430499912677]]], ""type"": ""Polygon""}",6037571704,481587,0,33.8499458,-118.1870723,3947,535,86.44537967,0.185941704,4026,643,1220,165,0.8315,0.5197,0.8336,0.6229,0.7599
"33.85057533430036, -118.16128377796682","{""coordinates"": [[[-118.167704, 33.85425799912677], [-118.164328, 33.853933999126745], [-118.164329, 33.85434599912678], [-118.164175, 33.85434599912678], [-118.159849, 33.85436099912674], [-118.159851, 33.85380099912674], [-118.154764, 33.853847999126735], [-118.154779, 33.850209999126804], [-118.154742, 33.847093999126834], [-118.159878, 33.84707399912687], [-118.163462, 33.84705999912685], [-118.164322, 33.84705599912685], [-118.167559, 33.84693999912687], [-118.167642, 33.8517839991268], [-118.167641, 33.852640999126784], [-118.167704, 33.85425799912677]]], ""type"": ""Polygon""}",6037570703,929734,0,33.8505828,-118.1612953,3473,1074,69.07570715,0.358972157,2826,213,945,51,0.2484,0.5842,0.6235,0.2139,0.3251
"33.85357447594633, -118.13378698807848","{""coordinates"": [[[-118.142432, 33.84711099912683], [-118.142389, 33.85443399912673], [-118.142387, 33.85478899912674], [-118.142415, 33.85731899912674], [-118.14242, 33.860245999126704], [-118.140013, 33.86025599912667], [-118.136557, 33.860270999126705], [-118.133792, 33.86028399912666], [-118.129806, 33.86030099912667], [-118.12509, 33.86031899912669], [-118.125047, 33.85363099912678], [-118.125059, 33.8507749991268], [-118.125075, 33.84705499912687], [-118.129868, 33.847069999126816], [-118.132019, 33.84707699912687], [-118.133787, 33.84672299912687], [-118.14243, 33.84669399912686], [-118.142432, 33.84711099912683]]], ""type"": ""Polygon""}",6037570800,2393579,705,33.8533032,-118.1353409,5661,2495,55.92650487,0.924165639,5364,635,1732,128,0.1135,0.1012,0.4047,0.2993,0.1282
