Geo Point,Geo Shape,GEOID,LANDAREA,WATERAREA,Latitude,Longitude,Total Population,White Only Population,Non White Only Percentage,AREA_SQMI,Total Population Estimate,Total Population Margin of Error,Housing Unit Estimate,Housing Unit Margin of Error,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
"33.81392661336212, -118.07739248178996","{""coordinates"": [[[-118.081546, 33.817648999127236], [-118.073299, 33.81762699912723], [-118.071806, 33.81762399912718], [-118.069121, 33.81761099912721], [-118.068758, 33.81736199912723], [-118.069526, 33.81650299912724], [-118.071814, 33.81536299912723], [-118.071839, 33.81535099912726], [-118.072833, 33.81485599912727], [-118.081525, 33.806144999127376], [-118.081546, 33.817648999127236]]], ""type"": ""Polygon""}",6037573902,700131,11619,33.8135353,-118.0775765,2263,1346,40.52141382,0.270321979,1981,209,911,102,0.0202,0.3668,0.2731,0.1732,0.0888
"33.814815359941754, -118.12308296570383","{""coordinates"": [[[-118.13393, 33.81527499912723], [-118.133909, 33.81880999912719], [-118.125217, 33.818807999127195], [-118.120832, 33.818807999127195], [-118.116517, 33.818812999127175], [-118.109272, 33.81881999912722], [-118.113941, 33.81369499912726], [-118.113024, 33.81312799912727], [-118.113602, 33.81247599912728], [-118.113758, 33.8104979991273], [-118.114563, 33.810499999127295], [-118.117503, 33.81050499912728], [-118.121547, 33.810517999127306], [-118.12526, 33.81053199912727], [-118.133951, 33.810558999127316], [-118.13393, 33.81527499912723]]], ""type"": ""Polygon""}",6037574100,1829547,9607,33.8138403,-118.122827,5251,3313,36.90724873,0.706391756,5058,667,1839,154,0.0835,0.1409,0.2903,0.1459,0.0728
"33.828073583264974, -118.06727456746151","{""coordinates"": [[[-118.071974, 33.83141399912704], [-118.069796, 33.83143399912704], [-118.06767, 33.83158399912706], [-118.067707, 33.83249099912703], [-118.067711, 33.83330599912701], [-118.06123, 33.83331399912699], [-118.063322, 33.831525999127045], [-118.063268, 33.8241069991271], [-118.065833, 33.824070999127144], [-118.066627, 33.82219899912718], [-118.068868, 33.822170999127124], [-118.068721, 33.82401999912716], [-118.071826, 33.82397399912716], [-118.071935, 33.82768999912711], [-118.071974, 33.83141399912704]]], ""type"": ""Polygon""}",6037555212,779496,30331,33.8295224,-118.068418,4680,844,81.96579445,0.300964965,5474,535,1436,168,0.6675,0.2234,0.7346,0.9008,0.6958
"33.83505307870172, -118.08788577566057","{""coordinates"": [[[-118.094974, 33.83832799912694], [-118.093117, 33.838606999126924], [-118.088358, 33.83866099912696], [-118.086761, 33.83867599912697], [-118.081901, 33.838711999126936], [-118.081852, 33.833985999126995], [-118.081827, 33.83145499912705], [-118.081812, 33.831259999127035], [-118.084145, 33.83131399912707], [-118.09324, 33.83129099912707], [-118.093309, 33.83171199912702], [-118.093356, 33.83199899912704], [-118.093939, 33.835661999127005], [-118.094555, 33.837293999126956], [-118.094974, 33.83832799912694]]], ""type"": ""Polygon""}",6037555002,885650,24745,33.8352186,-118.089263,3563,978,72.55120052,0.341951236,3705,493,1193,165,0.4571,0.1705,0.5843,0.4486,0.3993
"33.762170646223325, -118.19268962545897","{""coordinates"": [[[-118.206239, 33.769518999127826], [-118.20559, 33.76952099912782], [-118.202956, 33.76950699912779], [-118.202365, 33.769317999127814], [-118.200604, 33.769278999127806], [-118.198029, 33.769282999127796], [-118.195052, 33.769292999127835], [-118.192383, 33.76929699912781], [-118.187013, 33.769292999127835], [-118.185031, 33.76929399912781], [-118.182078, 33.769138999127826], [-118.182916, 33.76639099912786], [-118.183235, 33.76614999912785], [-118.183644, 33.76460299912791], [-118.182512, 33.76533199912787], [-118.183484, 33.76385199912788], [-118.18082663699995, 33.76066273212793], [-118.17962, 33.759180999127956], [-118.17984896999995, 33.75896189412792], [-118.18457479599998, 33.754439667127976], [-118.18770864699995, 33.75144083012801], [-118.188164, 33.75191599912803], [-118.192872, 33.753679999127996], [-118.194778, 33.75514599912796], [-118.197121, 33.75534899912796], [-118.197812, 33.757217999127995], [-118.20344, 33.76049399912793], [-118.206166, 33.76405599912786], [-118.206239, 33.769518999127826]]], ""type"": ""Polygon""}",6037576001,1802546,1343803,33.7607008,-118.1971195,5921,2892,51.15689053,0.695966616,5416,780,4004,411,0.3081,0.0076,0.3413,0.8615,0.2654
"33.87203366004721, -118.18906600830192","{""coordinates"": [[[-118.195409, 33.864873], [-118.191746, 33.870783], [-118.191232, 33.871498], [-118.190968, 33.872009], [-118.190782, 33.872448], [-118.190725, 33.872586], [-118.190521, 33.873207], [-118.190441, 33.873449], [-118.190378, 33.873707], [-118.19027, 33.874147], [-118.190208, 33.874366], [-118.189873, 33.874367], [-118.189844, 33.874481], [-118.189409, 33.876203], [-118.189392, 33.876272], [-118.18937, 33.876358], [-118.189364, 33.876381], [-118.189324, 33.876541], [-118.189318, 33.876567], [-118.189312, 33.876589], [-118.189306, 33.876612], [-118.189296, 33.876654], [-118.189289, 33.87668], [-118.189282, 33.876709], [-118.189253, 33.876837], [-118.1892, 33.877083], [-118.189147, 33.877111], [-118.189141, 33.877151], [-118.189115, 33.877354], [-118.189112, 33.877379], [-118.189094, 33.877522], [-118.189081, 33.877633], [-118.189035, 33.87766], [-118.188541, 33.880381], [-118.188442, 33.880656], [-118.188462, 33.880838], [-118.188368, 33.881325], [-118.188343, 33.881453], [-118.187855, 33.881457], [-118.187746, 33.882148], [-118.18763, 33.882441], [-118.187575, 33.882659], [-118.187477, 33.88257], [-118.187369, 33.882455], [-118.187279, 33.882351], [-118.187198, 33.882239], [-118.187159, 33.882194], [-118.187135, 33.882164], [-118.187009, 33.882008], [-118.186871, 33.881816], [-118.186761, 33.881643], [-118.186666, 33.881474], [-118.186605, 33.881366], [-118.186474, 33.881112], [-118.186359, 33.880855], [-118.186259, 33.880592], [-118.186175, 33.880325], [-118.186126, 33.880137], [-118.186069, 33.879866], [-118.186028, 33.879593], [-118.186001, 33.879291], [-118.185993, 33.878932], [-118.186019, 33.878201], [-118.186049, 33.877257], [-118.186056, 33.877026], [-118.186059, 33.876947], [-118.186064, 33.876816], [-118.186065, 33.876726], [-118.186066, 33.876695], [-118.186073, 33.876471], [-118.186096, 33.875741], [-118.186145, 33.874383], [-118.186154, 33.87369], [-118.186099, 33.873308], [-118.18606, 33.873038], [-118.186023, 33.872767], [-118.18602, 33.872747], [-118.185802, 33.871175], [-118.185788, 33.871078], [-118.185783, 33.871045], [-118.185727, 33.870649], [-118.185669, 33.87024], [-118.185611, 33.869832], [-118.185554, 33.869429], [-118.185476, 33.868875], [-118.18537, 33.868123], [-118.185256, 33.867318], [-118.185475, 33.867316], [-118.185539, 33.867316], [-118.185592, 33.867313], [-118.185643, 33.867315], [-118.185742, 33.867333], [-118.185835, 33.867365], [-118.185928, 33.867412], [-118.186021, 33.867437], [-118.186117, 33.867451], [-118.186518, 33.867452], [-118.186712, 33.867451], [-118.186807, 33.86744], [-118.187043, 33.867383], [-118.187206, 33.867351], [-118.187372, 33.867336], [-118.189036, 33.867323], [-118.190235, 33.867304], [-118.1905, 33.867308], [-118.190897, 33.867332], [-118.191225, 33.867367], [-118.191519, 33.86741], [-118.191809, 33.867465], [-118.19227, 33.866707], [-118.192721, 33.865955], [-118.193174, 33.865191], [-118.193649, 33.864393], [-118.194054, 33.863721], [-118.194075, 33.863699], [-118.194465, 33.863042], [-118.195722, 33.863649], [-118.196075, 33.86382], [-118.195409, 33.864873]]], ""type"": ""Polygon""}",6059099510,1318808,0,33.7652387,-118.0877857,,,,,,,,,,,,,
"33.770672979236224, -118.13522602351178","{""coordinates"": [[[-118.141546, 33.76806599912781], [-118.141542, 33.7698859991278], [-118.141544, 33.7716999991278], [-118.141544, 33.77532699912775], [-118.137331, 33.775324999127754], [-118.128505, 33.77532599912776], [-118.128503, 33.769877999127814], [-118.132855, 33.76987799912782], [-118.128687, 33.76514299912791], [-118.131676, 33.764026999127886], [-118.132552, 33.76443699912787], [-118.132859, 33.76443699912787], [-118.132863, 33.76625099912787], [-118.14155, 33.76625899912785], [-118.141546, 33.76806599912781]]], ""type"": ""Polygon""}",6037577606,1157665,0,33.7707391,-118.1353099,3547,2351,33.71862596,0.446976772,4067,953,1769,301,0.0282,0.2477,0.1691,0.1392,0.057
"33.7717882200291, -118.16976904179127","{""coordinates"": [[[-118.171997, 33.77533899912772], [-118.167646, 33.77534599912776], [-118.167644, 33.77170599912778], [-118.167644, 33.76864499912782], [-118.167764, 33.76788699912782], [-118.171348, 33.76835999912781], [-118.171992, 33.76954799912781], [-118.171988, 33.77171099912777], [-118.171997, 33.77533899912772]]], ""type"": ""Polygon""}",6037576503,311783,0,33.7718291,-118.1697407,4093,1557,61.95942781,0.12038004,3941,358,1856,124,0.6492,0.0751,0.5365,0.8693,0.5848
"33.771787616880275, -118.15772753462286","{""coordinates"": [[[-118.161138, 33.775336999127724], [-118.156747, 33.775336999127724], [-118.154583, 33.775339999127716], [-118.154583, 33.7716999991278], [-118.15459, 33.76807299912786], [-118.158925, 33.76807899912784], [-118.160584, 33.768080999127825], [-118.160585, 33.7716989991278], [-118.161129, 33.77169599912781], [-118.161138, 33.775336999127724]]], ""type"": ""Polygon""}",6037576802,467801,0,33.7717856,-118.1577274,3989,1932,51.5667958,0.180618902,3938,597,1911,135,0.567,0.0847,0.4431,0.5799,0.4315
"33.77196065795698, -118.17413998970497","{""coordinates"": [[[-118.176509, 33.77014099912777], [-118.17634, 33.77170999912777], [-118.176341, 33.77533799912772], [-118.171997, 33.77533899912772], [-118.171988, 33.77171099912777], [-118.171992, 33.76954799912781], [-118.171348, 33.76835999912781], [-118.174915, 33.76882599912781], [-118.176708, 33.76906599912783], [-118.176509, 33.77014099912777]]], ""type"": ""Polygon""}",6037576502,307611,0,33.7719179,-118.1740905,4190,1486,64.5345908,0.118769222,5176,1094,2180,224,0.6211,0.3851,0.6541,0.863,0.6868
